,userId,date,sleep,sleepProblem,dream,amCondition,amEmotion,pmEmotion,pmStress,pmFatigue,cAmount(ml),aAmount(ml),caffeine_caffeinated drink,caffeine_coffee,caffeine_coke,caffeine_tea,alcohol_beer,alcohol_beer&rice wine,alcohol_cognac,alcohol_kaoliang,alcohol_not specified,alcohol_rice wine,alcohol_soju,alcohol_soju&beer,alcohol_wine,alcohol_wine&beer,sleep_score,sleep_score2,gender,age,handed,height,weight,social_idx,dynamic_idex,positive_idex,social_routine_ratio,place_routine_ratio
0,user24,2020-09-01,4.0,0.0,4.0,4.0,3.0,4.0,2.0,4.0,200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,1,0,26,1,165,67,0.3333333333333333,0.5,0.5,0.4591715976331361,0.6461538461538462
1,user24,2020-09-02,4.0,0.0,4.0,2.0,4.0,5.0,4.0,3.0,150.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0,0,26,1,165,67,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.5922580645161291,0.6206451612903225
2,user24,2020-09-03,4.0,0.0,2.0,2.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1,0,26,1,165,67,0.5,0.375,0.75,0.4241379310344828,0.6218390804597701
3,user24,2020-09-04,3.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1,0,26,1,165,67,0.3,0.5,0.4,0.5284916201117319,0.5966480446927375
4,user24,2020-09-05,4.0,0.0,3.0,3.0,5.0,5.0,4.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1,0,26,1,165,67,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.10016420361247948,0.6157635467980296
5,user24,2020-09-06,4.0,0.0,2.0,2.0,3.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1,0,26,1,165,67,0.5714285714285714,0.7142857142857143,1.0,0.1800262812089356,0.11038107752956636
6,user24,2020-09-07,4.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0,0,26,1,165,67,0.8888888888888888,0.6666666666666666,0.2222222222222222,0.5335533553355336,0.6248624862486248
7,user24,2020-09-08,4.0,0.0,4.0,1.0,4.0,4.0,2.0,2.0,200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,0,26,1,165,67,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.016042780748663103,0.7165775401069518
8,user24,2020-09-09,3.0,0.0,2.0,2.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0,0,26,1,165,67,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.41919805589307413,0.6038882138517618
9,user24,2020-09-10,4.0,0.0,4.0,3.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1,0,26,1,165,67,0.5,0.5,0.75,0.41284403669724773,0.7305045871559633
10,user24,2020-09-11,4.0,0.0,4.0,2.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,0,26,1,165,67,0.4,0.4,0.9,0.4687168610816543,0.47932131495228
11,user24,2020-09-12,3.0,5.0,2.0,2.0,4.0,5.0,2.0,3.0,150.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1,0,26,1,165,67,0.2222222222222222,0.5555555555555556,0.4444444444444444,0.0,0.5684210526315789
12,user24,2020-09-13,4.0,0.0,2.0,2.0,4.0,4.0,5.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1,0,26,1,165,67,0.5454545454545454,0.45454545454545453,1.0,0.055632823365785816,0.2698191933240612
13,user24,2020-09-14,4.0,0.0,2.0,2.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,26,1,165,67,0.8181818181818182,0.6363636363636364,0.5454545454545454,0.4585635359116022,0.4972375690607735
14,user24,2020-09-15,3.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,250.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0,0,26,1,165,67,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.4148936170212766,0.4521276595744681
15,user24,2020-09-16,4.0,0.0,2.0,3.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0,0,26,1,165,67,0.16666666666666666,0.3333333333333333,0.25,0.5276907001044933,0.754440961337513
16,user24,2020-09-17,4.0,0.0,2.0,4.0,3.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0,0,26,1,165,67,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.3559510567296997,0.5172413793103449
17,user24,2020-09-18,3.0,0.0,2.0,1.0,3.0,3.0,2.0,1.0,150.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1,0,26,1,165,67,0.5,0.4,0.6,0.5250291036088475,0.4691501746216531
18,user24,2020-09-19,3.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0,0,26,1,165,67,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.05813953488372093,0.05581395348837209
19,user24,2020-09-20,4.0,0.0,2.0,3.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0,0,26,1,165,67,0.6666666666666666,0.3333333333333333,0.0,0.0803357314148681,0.03836930455635491
20,user24,2020-09-21,3.0,0.0,2.0,2.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1,0,26,1,165,67,0.6153846153846154,0.5384615384615384,1.0,0.5469556243550051,0.6326109391124871
21,user24,2020-09-22,4.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0,0,26,1,165,67,0.3,0.3,0.4,0.48322147651006714,0.5223713646532439
22,user24,2020-09-23,4.0,0.0,2.0,2.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1,0,26,1,165,67,0.3333333333333333,0.4166666666666667,0.9166666666666666,0.5738255033557047,0.6442953020134228
23,user24,2020-09-24,3.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0,0,26,1,165,67,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.7065351418002466,0.7866831072749692
24,user24,2020-09-24,3.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0,0,26,1,165,67,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.7065351418002466,0.7866831072749692
25,user24,2020-09-25,3.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1,0,26,1,165,67,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.45670103092783504,0.45670103092783504
