,userId,inputDt,inputDt_1,sleep,sleepProblem,dream,amCondition,amEmotion,pmEmotion,pmStress,routine_day,breakfast,lunch,dinner,lateSnack,cAmount(ml),aAmount(ml),caffeine_caffeinated drink,caffeine_coffee,caffeine_coke,caffeine_tea,alcohol_beer,alcohol_soju,alcohol_soju&beer,alcohol_wine,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday
1,117,2020-01-19 9:44,2020-01-19,4.0,0.0,4.0,3.0,3.0,3.0,4.0,1.0,0.0,3.0,3.0,0.0,300.0,0.0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
2,117,2020-01-20 8:43,2020-01-20,5.0,5.0,4.0,2.0,3.0,3.0,4.0,0.0,0.0,3.0,3.0,0.0,300.0,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
3,117,2020-01-21 8:23,2020-01-21,3.0,2.0,4.0,2.0,3.0,4.0,4.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4,117,2020-01-22 8:34,2020-01-22,4.0,5.0,4.0,2.0,2.0,3.0,4.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,117,2020-01-23 8:40,2020-01-23,5.0,0.0,4.0,2.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,0.0,300.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
6,117,2020-01-24 10:22,2020-01-24,2.0,2.0,4.0,2.0,3.0,4.0,4.0,0.0,2.0,2.0,3.0,3.0,300.0,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
7,117,2020-01-25 7:39,2020-01-25,2.0,0.0,4.0,1.0,2.0,4.0,5.0,1.0,2.0,3.0,3.0,0.0,0.0,200.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
8,117,2020-01-26 10:12,2020-01-26,4.0,2.0,4.0,2.0,3.0,4.0,5.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
9,117,2020-01-27 10:20,2020-01-27,3.0,8.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,0.0,200.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
10,117,2020-01-28 8:33,2020-01-28,3.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
